Pedigree	Year	Loc	Pass	Trait	Value	Coded_Trait	Pop	Gen	Range	Env
B73	2017	1	44	MLA	61.03822222	4	3	1	4	2017_Loc1
B73	2017	1	44	TUELA	71.77288889	2	3	1	4	2017_Loc1
B73	2017	1	44	ULA	79.39566667	1	3	1	4	2017_Loc1
PHW30	2017	1	19	FUELA	75.77533333	3	3	3	4	2017_Loc1
PHW30	2017	1	19	MLA	72.47366667	4	3	3	4	2017_Loc1
PHW30	2017	1	19	TUELA	76.477	2	3	3	4	2017_Loc1
PHW30	2017	1	19	ULA	74.5565	1	3	3	4	2017_Loc1
Mo17	2017	1	9	FUELA	64.0015	3	3	2	4	2017_Loc1
Mo17	2017	1	9	MLA	59.22533333	4	3	2	4	2017_Loc1
Mo17	2017	1	9	TUELA	56.5525	2	3	2	4	2017_Loc1
Mo17	2017	1	9	ULA	50.87266667	1	3	2	4	2017_Loc1
PHW30	2017	1	22	FUELA	73.50283333	3	3	3	5	2017_Loc1
PHW30	2017	1	22	MLA	71.31033333	4	3	3	5	2017_Loc1
PHW30	2017	1	22	TUELA	76.49916667	2	3	3	5	2017_Loc1
PHW30	2017	1	22	ULA	73.47983333	1	3	3	5	2017_Loc1
Mo17	2017	1	40	FUELA	57.95866667	3	3	2	5	2017_Loc1
Mo17	2017	1	40	MLA	57.20983333	4	3	2	5	2017_Loc1
Mo17	2017	1	40	TUELA	56.91233333	2	3	2	5	2017_Loc1
Mo17	2017	1	40	ULA	49.364	1	3	2	5	2017_Loc1
B73	2017	1	42	FUELA	64.835	3	3	1	5	2017_Loc1
B73	2017	1	42	MLA	61.2035	4	3	1	5	2017_Loc1
B73	2017	1	42	TUELA	70.64016667	2	3	1	5	2017_Loc1
B73	2017	1	42	ULA	78.441	1	3	1	5	2017_Loc1
B73	2017	1	26	FUELA	66.80883333	3	3	1	6	2017_Loc1
B73	2017	1	26	MLA	63.45766667	4	3	1	6	2017_Loc1
B73	2017	1	26	TUELA	72.55116667	2	3	1	6	2017_Loc1
B73	2017	1	26	ULA	79.33983333	1	3	1	6	2017_Loc1
Mo17	2017	1	23	FUELA	65.34333333	3	3	2	6	2017_Loc1
Mo17	2017	1	23	MLA	57.094	4	3	2	6	2017_Loc1
Mo17	2017	1	23	TUELA	53.24033333	2	3	2	6	2017_Loc1
Mo17	2017	1	23	ULA	55.16783333	1	3	2	6	2017_Loc1
PHW30	2017	1	9	FUELA	74.26583333	3	3	3	6	2017_Loc1
PHW30	2017	1	9	MLA	72.89166667	4	3	3	6	2017_Loc1
PHW30	2017	1	9	TUELA	79.43383333	2	3	3	6	2017_Loc1
PHW30	2017	1	9	ULA	79.37916667	1	3	3	6	2017_Loc1
