RecId	Trait	Loc	LA	PedId	Loc Seq#	Experiment	Entry	Pass	Range	Source	Pedigree	Notes
4085824	FUELA	1	72.732	3229322	24	MD-OBS1	24	28	2	15WJMY:Dziev:0265	Mo17/PHW30-409 - (2n)-01	NA
4085824	MLA	1	69.298	3229322	24	MD-OBS1	24	28	2	15WJMY:Dziev:0265	Mo17/PHW30-409 - (2n)-01	NA
4085824	TUELA	1	73.267	3229322	24	MD-OBS1	24	28	2	15WJMY:Dziev:0265	Mo17/PHW30-409 - (2n)-01	NA
4085824	ULA	1	70.639	3229322	24	MD-OBS1	24	28	2	15WJMY:Dziev:0265	Mo17/PHW30-409 - (2n)-01	NA
4085825	FUELA	1	73.13933333333334	3229338	25	MD-OBS1	25	29	2	15WJMY:Dziev:0281	Mo17/PHW30-133 - (2n)-02	NA
4085825	MLA	1	74.53366666666668	3229338	25	MD-OBS1	25	29	2	15WJMY:Dziev:0281	Mo17/PHW30-133 - (2n)-02	NA
4085825	TUELA	1	71.50433333333334	3229338	25	MD-OBS1	25	29	2	15WJMY:Dziev:0281	Mo17/PHW30-133 - (2n)-02	NA
4085825	ULA	1	67.97933333333333	3229338	25	MD-OBS1	25	29	2	15WJMY:Dziev:0281	Mo17/PHW30-133 - (2n)-02	NA
4085826	FUELA	1	65.24633333333333	3156957	26	MD-OBS1	26	30	2	15WJMY:Dziev:0036 (2015 GH)	PHW30/Mo17-037 - (2n)-02	NA
4085826	MLA	1	71.20333333333333	3156957	26	MD-OBS1	26	30	2	15WJMY:Dziev:0036 (2015 GH)	PHW30/Mo17-037 - (2n)-02	NA
4085826	TUELA	1	58.70366666666667	3156957	26	MD-OBS1	26	30	2	15WJMY:Dziev:0036 (2015 GH)	PHW30/Mo17-037 - (2n)-02	NA
4085826	ULA	1	48.43833333333333	3156957	26	MD-OBS1	26	30	2	15WJMY:Dziev:0036 (2015 GH)	PHW30/Mo17-037 - (2n)-02	NA
